ip,hostname,app,businesses,dev,own
172.18.6.71,FA-filemonitor,恒生O32资讯导入应用,恒生O32资讯导入系统,xukw,linpc&xukw
192.168.7.54,Dataservice-sp,基金-DataService,Dataservice,xingxj,wangy2
172.18.4.45,sophon4,基金-机器学习SOPHON应用,基金-机器学习系统,zhuyy,zhuyy
172.18.4.47,sophon6,基金-机器学习SOPHON应用,基金-机器学习系统,zhuyy,zhuyy
172.18.4.46,sophon5,基金-机器学习SOPHON应用,基金-机器学习系统,zhuyy,zhuyy
192.168.7.245,HRM-Server01,基金-人力资源管理,基金-人力资源管理系统,liujie,xieys&wangy2
172.17.69.148,pbs-pgfile02,ylbpgfile,基金-余利宝,liugr&xiegb,wangy2&zhaolh
172.18.3.146,oem13c,自研数据库管理平台,数据库管理平台,xieys&liup1,xieys&liup1
192.168.7.117,InvestAssist-117,ETF台账&投研消息中心,基金-FA精细化运作管理系统&基金-聚升投研平台,xiah&kongwt&ganq,wangy2&kongwt
192.168.7.118,InvestAssist-118,研究分析-RA,基金-聚升投研平台,kongwt&huxm&zhaoxf&ganq,wangy2
192.168.7.119,InvestAssist-119,交易管理-TM,基金-聚升投研平台,luoh&huxm&ganq,wangy2&caiyg
192.168.7.244,fundmon-rpa,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.7.243,FAFundMonitor02,FA精细化运作,基金-FA精细化运作管理系统,liuyu,xiah&wangy2&caiyg
192.168.7.242,FAFundMonitor02,FA精细化运作,基金-FA精细化运作管理系统,liuyu,xiah&wangy2&caiyg
172.18.3.231,cmfinfodb,CMFINFO数据库&基金-资讯数据库,生产环境ORACLE数据库&基金-资讯下载系统,xieys&zhucj&liweijie,xieys&wangy2&zhucj&liup1&liweijie
192.168.5.37,kafka-Manager-37,朱雀一体化运维,基金-朱雀一体化运维系统,wangy2,wangy2
192.168.22.105,kafka-Manager-38,朱雀一体化运维,基金-朱雀一体化运维系统,wangy2,wangy2
192.168.7.122,IAC-Front01,招行发票前置机,基金-财务管理系统,kongwt,wangy2
192.168.7.123,CBP-Archive,财富-综合业务平台-档案服务server&财富-综合业务平台-档案服务web,财富-综合业务系统&财富-综合业务系统,wangjf,wangy2
192.168.5.66,CMWA-KCAOM,财富-RPA应用,财富-RPA系统,licc,wangy2&licc
192.168.7.29,fintech-server,财富-RPA应用,财富-RPA系统,licc,wangy2&licc
172.18.6.59,CMWACRM-DataETL,财富-呼叫中心-ETL,财富-呼叫中心,ex-chenbq&wangjf&zuotc,wangy2
172.18.6.78,CMFIPRDCA01,AD活动目录,基金-AD域系统,lijl2,lijl2
192.168.7.210,CMFEPRDWDS01,WDS Windows部署服务,基金-自动部署系统,lijl2,lijl2
192.168.7.125,QQ-Robot-Trans125,基金-RPA&qq机器人,基金-RPA&基金-聚升投研平台,lihy2&liuyi&ganq,wangy2&caiyg&lihy2&liuyi&ganq
192.168.22.124,EC-Nginx-124,cmfecthird(tpweb)-prod,基金-母公司电商,xiegb,zhaolh
172.18.6.73,CMWA-Kettle-73,财富-携宁易报通,财富-监管报送系统,yangx1,wangy2
192.168.7.74,cmwa-Indexcenter-74,财富-指标中心,财富-指标中心,yangx1&zhongjc,wangy2
192.168.7.124,cmwa-YBT-124,财富-携宁易报通,财富-监管报送系统,yangx1,wangy2
192.168.7.128,KC-Agent-128,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.6.71,KC-Agent-71,基金-RPA,基金-RPA,lihy2&liuyi,caiyg&lihy2&liuyi
192.168.7.214,InternalFundMS-214,自有资金投资管理系统-CMF.OCI,基金-自有资金管理系统,xud,wangy2
192.168.7.220,InternalFundMS-220,自有资金投资管理系统-CMF.OCI,基金-自有资金管理系统,xud,wangy2
172.18.4.212,HSTJ1,恒生天鉴-自动化(FA),基金-恒生天鉴,liujy3&dengjl,liujy3&dengjl
172.18.4.213,HSTJ2,恒生天鉴-自动化(子公司),基金-恒生天鉴,xukw,liujy3
172.18.6.79,CMFIPRDPRT01,打印服务器,基金-文印系统,lijl2,lijl2
192.168.6.91,TingYun-Server-91,APM,APM,caiyg,caiyg
192.168.6.194,TingYun-Server-194,APM,APM,caiyg,caiyg
192.168.7.92,iReport-Server-,基金-iReport报告,基金-iReport报告,xusj&liming,lijq&caiyg&liming&xingxj
192.168.7.91,iReport-Server-,基金-iReport报告,基金-iReport报告,xusj&liming,lijq&caiyg&liming&xingxj
192.168.7.132,ZZ-sftp,资讯数据—中债,基金-资讯数据下载,,linpc
192.168.7.94,cmfoci-bankfront02,自有资金投资管理系统-CMF.OCI,基金-自有资金管理系统,xud,wangy2
192.168.7.93,cmfoci-bankfront01,自有资金投资管理系统-CMF.OCI,基金-自有资金管理系统,xud,wangy2
192.168.7.95,remotemq-server,财富-远程面签应用,财富-远程面签系统,licc,wangy2
192.168.22.147,remotemq-nginx01,财富-远程面签应用,财富-远程面签系统,licc,wangy2
192.168.2.87,remotemq-nginx02,财富-远程面签应用,财富-远程面签系统,licc,wangy2
192.168.7.96,fxqmonitor-server-96,反洗钱监控系统Web,基金-反洗钱监控系统,huangjq,ling
192.168.7.246,HRM-Server02,基金-人力资源管理,基金-人力资源管理系统,liujie,xieys&wangy2
192.168.7.230,EC-ICBC-Front,电商工行前置ICBC-Front,基金-母公司电商,yanyn,zhaolh
192.168.7.26,Dataservice-sp03,基金-DataService,Dataservice,xingxj,wangy2
