partition,belong_company
汕头分公司,市分公司/汕头分公司%
清远分公司,市分公司/清远分公司%
江门分公司,市分公司/江门分公司%
揭阳分公司,市分公司/揭阳分公司%
深圳分公司,市分公司/深圳分公司%
湛江分公司,市分公司/湛江分公司%
佛山分公司,市分公司/佛山分公司%
惠州分公司,市分公司/惠州分公司%
东莞分公司,市分公司/东莞分公司%
中山分公司,市分公司/中山分公司%
肇庆分公司,市分公司/肇庆分公司%
汕尾分公司,市分公司/汕尾分公司%
茂名分公司,市分公司/茂名分公司%
潮州分公司,市分公司/潮州分公司%
梅州分公司,市分公司/梅州分公司%
广州分公司,市分公司/广州分公司%
阳江分公司,市分公司/阳江分公司%
韶关分公司,市分公司/韶关分公司%
珠海分公司,市分公司/珠海分公司%
河源分公司,市分公司/河源分公司%
云浮分公司,市分公司/云浮分公司%
10000号运营中心,直属部门/10000号运营中心%
综合维护优化中心,直属部门/综合维护优化中心%
产品运营中心,直属部门/产品运营中心%
市场部,直属部门/市场部%
省电信工会,直属部门/省电信工会%
政企客户事业部,直属部门/政企客户事业部%
数字化营销事业部,直属部门/数字化营销事业部%
智能云网业务运营中心,直属部门/智能云网业务运营中心%
信息安全管理部,直属部门/信息安全管理部%
云网运营部,直属部门/云网运营部%
省公司反诈专班,直属部门/省公司反诈专班%
企业发展部,直属部门/企业发展部%
云中台,直属部门/云中台%
运营分析室,直属部门/智能云网调度运营中心/网络和信息安全操作中心/运营分析室%
移动网络运营团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/移动网络室%
云网运营管理团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/云网运营管理室%
宽带网络运营团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/宽带网络室%
云计算网络运营团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/云计算网络室%
云应用平台运营团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/云应用平台室%
承载网络运营团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/承载网络室%
数字化运营保障团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/数字化运营保障室%
网络和信息安全保障团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/网络和信息安全室%
云网基础设施运营团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/云网基础设施室%
接入网络运营团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/接入网络室%
视讯网络运营团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/视讯网络室%
核心网络运营团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/核心网络室%
云网指挥调度室,直属部门/智能云网调度运营中心/网络和信息安全操作中心/云网指挥调度室%
客户感知保障团队,直属部门/智能云网调度运营中心/网络和信息安全操作中心/客户感知保障室%
广东亿迅科技有限公司,专业子公司/广东亿迅科技有限公司%
云省分公司,市分公司/云省分公司%
